Suburb,Cluster,Peak_Price,Standard_Price,Offpeak_Price,Average_Price
hawthorn (south),1,6.14,4.73,3.78,4.85
heidelberg rosanna,1,6.14,4.73,3.78,4.85
heidelberg west,1,6.14,4.73,3.78,4.85
highett (east) cheltenham,1,6.14,4.73,3.78,4.85
highett (west) cheltenham,1,6.14,4.73,3.78,4.85
hillside,1,6.14,4.73,3.78,4.85
hoppers crossing (north),1,6.14,4.73,3.78,4.85
hoppers crossing (south),1,6.14,4.73,3.78,4.85
hughesdale,1,6.14,4.73,3.78,4.85
hurstbridge,1,6.14,4.73,3.78,4.85
ivanhoe,1,6.14,4.73,3.78,4.85
ivanhoe east eaglemont,1,6.14,4.73,3.78,4.85
keilor,1,6.14,4.73,3.78,4.85
keilor downs,1,6.14,4.73,3.78,4.85
keilor east,1,6.14,4.73,3.78,4.85
kensington,1,6.14,4.73,3.78,4.85
kew east,1,6.14,4.73,3.78,4.85
kew (south),1,6.14,4.73,3.78,4.85
kew (west),1,6.14,4.73,3.78,4.85
keysborough (north),1,6.14,4.73,3.78,4.85
keysborough (south),1,6.14,4.73,3.78,4.85
kilsyth,1,6.14,4.73,3.78,4.85
kingsbury,1,6.14,4.73,3.78,4.85
kings park,1,6.14,4.73,3.78,4.85
knoxfield scoresby,1,6.14,4.73,3.78,4.85
koo wee rup,1,6.14,4.73,3.78,4.85
kurunjang toolern vale,1,6.14,4.73,3.78,4.85
lalor (east),1,6.14,4.73,3.78,4.85
lalor (west),1,6.14,4.73,3.78,4.85
langwarrin,1,6.14,4.73,3.78,4.85
laverton,1,6.14,4.73,3.78,4.85
lilydale coldstream,1,6.14,4.73,3.78,4.85
lynbrook lyndhurst,1,6.14,4.73,3.78,4.85
lysterfield,1,6.14,4.73,3.78,4.85
malvern east,1,6.14,4.73,3.78,4.85
malvern glen iris,1,6.14,4.73,3.78,4.85
manor lakes quandong,1,6.14,4.73,3.78,4.85
maribyrnong,1,6.14,4.73,3.78,4.85
meadow heights,1,6.14,4.73,3.78,4.85
melton,1,6.14,4.73,3.78,4.85
melton west,1,6.14,4.73,3.78,4.85
mentone,1,6.14,4.73,3.78,4.85
mernda (north),1,6.14,4.73,3.78,4.85
mernda (south),1,6.14,4.73,3.78,4.85
mickleham yuroke,1,6.14,4.73,3.78,4.85
mill park (north),1,6.14,4.73,3.78,4.85
mill park (south),1,6.14,4.73,3.78,4.85
mitcham,1,6.14,4.73,3.78,4.85
monbulk silvan,1,6.14,4.73,3.78,4.85
montmorency briar hill,1,6.14,4.73,3.78,4.85
montrose,1,6.14,4.73,3.78,4.85
moonee ponds,1,6.14,4.73,3.78,4.85
moorabbin airport,1,6.14,4.73,3.78,4.85
moorabbin heatherton,1,6.14,4.73,3.78,4.85
mooroolbark,1,6.14,4.73,3.78,4.85
mordialloc parkdale,1,6.14,4.73,3.78,4.85
mornington (east),1,6.14,4.73,3.78,4.85
mornington (west),1,6.14,4.73,3.78,4.85
mount dandenong olinda,1,6.14,4.73,3.78,4.85
mount eliza,1,6.14,4.73,3.78,4.85
mount evelyn,1,6.14,4.73,3.78,4.85
mount martha,1,6.14,4.73,3.78,4.85
mount waverley (north),1,6.14,4.73,3.78,4.85
mount waverley (south),1,6.14,4.73,3.78,4.85
mulgrave,1,6.14,4.73,3.78,4.85
murrumbeena,1,6.14,4.73,3.78,4.85
narre warren north,1,6.14,4.73,3.78,4.85
narre warren (north east),1,6.14,4.73,3.78,4.85
narre warren south (east),1,6.14,4.73,3.78,4.85
narre warren (south west),1,6.14,4.73,3.78,4.85
narre warren south (west),1,6.14,4.73,3.78,4.85
newport,1,6.14,4.73,3.78,4.85
niddrie essendon west,1,6.14,4.73,3.78,4.85
noble park (east),1,6.14,4.73,3.78,4.85
noble park north,1,6.14,4.73,3.78,4.85
noble park (west),1,6.14,4.73,3.78,4.85
northcote (east),1,6.14,4.73,3.78,4.85
northcote (west),1,6.14,4.73,3.78,4.85
nunawading,1,6.14,4.73,3.78,4.85
oakleigh huntingdale,1,6.14,4.73,3.78,4.85
oak park,1,6.14,4.73,3.78,4.85
ormond glen huntly,1,6.14,4.73,3.78,4.85
pakenham (north east),1,6.14,4.73,3.78,4.85
pakenham (north west),1,6.14,4.73,3.78,4.85
pakenham (south east),1,6.14,4.73,3.78,4.85
pakenham (south west),1,6.14,4.73,3.78,4.85
parkville,1,6.14,4.73,3.78,4.85
pascoe vale,1,6.14,4.73,3.78,4.85
pascoe vale south,1,6.14,4.73,3.78,4.85
pearcedale tooradin,1,6.14,4.73,3.78,4.85
plenty yarrambat,1,6.14,4.73,3.78,4.85
point nepean,1,6.14,4.73,3.78,4.85
prahran windsor,1,6.14,4.73,3.78,4.85
preston (east),1,6.14,4.73,3.78,4.85
preston (west),1,6.14,4.73,3.78,4.85
research north warrandyte,1,6.14,4.73,3.78,4.85
reservoir (north east),1,6.14,4.73,3.78,4.85
reservoir (north west),1,6.14,4.73,3.78,4.85
reservoir (south east),1,6.14,4.73,3.78,4.85
reservoir (south west),1,6.14,4.73,3.78,4.85
ringwood,1,6.14,4.73,3.78,4.85
ringwood east,1,6.14,4.73,3.78,4.85
ringwood north,1,6.14,4.73,3.78,4.85
rockbank mount cottrell,1,6.14,4.73,3.78,4.85
rosebud mccrae,1,6.14,4.73,3.78,4.85
rowville (central),1,6.14,4.73,3.78,4.85
rowville (north),1,6.14,4.73,3.78,4.85
rowville (south),1,6.14,4.73,3.78,4.85
roxburgh park (north),1,6.14,4.73,3.78,4.85
roxburgh park (south) somerton,1,6.14,4.73,3.78,4.85
sandringham black rock,1,6.14,4.73,3.78,4.85
seabrook,1,6.14,4.73,3.78,4.85
seaford,1,6.14,4.73,3.78,4.85
seddon kingsville,1,6.14,4.73,3.78,4.85
skye sandhurst,1,6.14,4.73,3.78,4.85
somerville,1,6.14,4.73,3.78,4.85
southbank (east),1,6.14,4.73,3.78,4.85
southbank (west) south wharf,1,6.14,4.73,3.78,4.85
south morang (north),1,6.14,4.73,3.78,4.85
south morang (south),1,6.14,4.73,3.78,4.85
south yarra (north),1,6.14,4.73,3.78,4.85
south yarra (south),1,6.14,4.73,3.78,4.85
south yarra (west),1,6.14,4.73,3.78,4.85
springvale,1,6.14,4.73,3.78,4.85
springvale south,1,6.14,4.73,3.78,4.85
st albans (north),1,6.14,4.73,3.78,4.85
st albans (south),1,6.14,4.73,3.78,4.85
st kilda (central),1,6.14,4.73,3.78,4.85
st kilda east,1,6.14,4.73,3.78,4.85
st kilda (west),1,6.14,4.73,3.78,4.85
strathmore,1,6.14,4.73,3.78,4.85
sunbury,1,6.14,4.73,3.78,4.85
sunbury (south),1,6.14,4.73,3.78,4.85
sunbury (west),1,6.14,4.73,3.78,4.85
sunshine,1,6.14,4.73,3.78,4.85
sunshine north,1,6.14,4.73,3.78,4.85
sunshine west,1,6.14,4.73,3.78,4.85
surrey hills (east) mont albert,1,6.14,4.73,3.78,4.85
surrey hills (west) canterbury,1,6.14,4.73,3.78,4.85
sydenham,1,6.14,4.73,3.78,4.85
taylors hill,1,6.14,4.73,3.78,4.85
taylors lakes,1,6.14,4.73,3.78,4.85
templestowe,1,6.14,4.73,3.78,4.85
templestowe lower,1,6.14,4.73,3.78,4.85
the basin,1,6.14,4.73,3.78,4.85
thomastown,1,6.14,4.73,3.78,4.85
thornbury,1,6.14,4.73,3.78,4.85
toorak,1,6.14,4.73,3.78,4.85
truganina (north),1,6.14,4.73,3.78,4.85
truganina (south east),1,6.14,4.73,3.78,4.85
truganina (south west),1,6.14,4.73,3.78,4.85
tullamarine,1,6.14,4.73,3.78,4.85
upwey tecoma,1,6.14,4.73,3.78,4.85
vermont,1,6.14,4.73,3.78,4.85
vermont south,1,6.14,4.73,3.78,4.85
viewbank yallambie,1,6.14,4.73,3.78,4.85
wallan,1,6.14,4.73,3.78,4.85
wandin seville,1,6.14,4.73,3.78,4.85
wantirna,1,6.14,4.73,3.78,4.85
wantirna south,1,6.14,4.73,3.78,4.85
warrandyte wonga park,1,6.14,4.73,3.78,4.85
watsonia,1,6.14,4.73,3.78,4.85
wattle glen diamond creek,1,6.14,4.73,3.78,4.85
wattle glen diamond creek,1,6.14,4.73,3.78,4.85
west footscray tottenham,1,6.14,4.73,3.78,4.85
wheelers hill,1,6.14,4.73,3.78,4.85
whittlesea,1,6.14,4.73,3.78,4.85
williamstown,1,6.14,4.73,3.78,4.85
wollert,1,6.14,4.73,3.78,4.85
wyndham vale (north),1,6.14,4.73,3.78,4.85
wyndham vale (south),1,6.14,4.73,3.78,4.85
yarra valley,1,6.14,4.73,3.78,4.85
yarraville,1,6.14,4.73,3.78,4.85
cobblebank strathtulloh,2,6.14,4.73,3.78,4.85
melton south weir views,2,6.14,4.73,3.78,4.85
